Warehouse,WeekEnding,DemandFulfillment,AFIFinanceDivision,FOBDemandFullfilment
17 ,2026-08-15,3495,Imported Upholstery,2041027
17 ,2026-08-15,4582,Import Bedding,871144
17 ,2026-08-15,16269,Upholstery,4728872
28 ,2026-08-15,3729,Domestic Bedding,1359061
28 ,2026-08-15,10569,Upholstery,3092543
28 ,2026-08-15,3293,Import Bedding,605457
28 ,2026-08-15,4649,Domestic Casegoods,475473
28 ,2026-08-15,1989,Imported Upholstery,1229606
28 ,2026-08-15,16624,Import Casegoods,2640392
335,2026-08-15,28993,Import Casegoods,5153339
335,2026-08-15,465,Import Bedding,234538
335,2026-08-15,11,Domestic Casegoods,1646
335,2026-08-15,6155,Imported Upholstery,3412750
335,2026-08-15,12522,Upholstery,3542344
42 ,2026-08-15,0,Domestic Casegoods,0
42 ,2026-08-15,0,Import Casegoods,0
42 ,2026-08-15,0,Upholstery,0
5  ,2026-08-15,27429,Import Casegoods,4151932
5  ,2026-08-15,16005,Upholstery,4655569
5  ,2026-08-15,5567,Import Bedding,1015935
5  ,2026-08-15,53,Marketplace,0
5  ,2026-08-15,3329,Imported Upholstery,2025817
5  ,2026-08-15,7979,Domestic Bedding,2845617
5  ,2026-08-15,5654,Domestic Casegoods,580016
ECR,2026-08-15,31844,Upholstery,9222000
ECR,2026-08-15,4765,Imported Upholstery,2802674
ECR,2026-08-15,112,Marketplace,0
ECR,2026-08-15,10303,Domestic Casegoods,1031480
ECR,2026-08-15,5181,Import Bedding,894908
ECR,2026-08-15,7499,Domestic Bedding,2403971
ECR,2026-08-15,32764,Import Casegoods,5337052
1  ,2026-08-22,31835,Import Casegoods,4733287
1  ,2026-08-22,3683,Imported Upholstery,2007322
1  ,2026-08-22,7330,Domestic Bedding,2479408
1  ,2026-08-22,17481,Domestic Casegoods,1761674
1  ,2026-08-22,4517,Import Bedding,814501
1  ,2026-08-22,23604,Upholstery,6664086
15 ,2026-08-22,6573,Import Bedding,1180809
15 ,2026-08-22,2105,Imported Upholstery,1198347
15 ,2026-08-22,23773,Import Casegoods,3623182
15 ,2026-08-22,16006,Upholstery,4552444
15 ,2026-08-22,80,Marketplace,0
15 ,2026-08-22,8229,Domestic Casegoods,857036
15 ,2026-08-22,9112,Domestic Bedding,3274050
17 ,2026-08-22,16009,Upholstery,4663080
17 ,2026-08-22,8992,Domestic Casegoods,906428
17 ,2026-08-22,4965,Import Bedding,928252
17 ,2026-08-22,30802,Import Casegoods,4957708
17 ,2026-08-22,3755,Imported Upholstery,2161125
17 ,2026-08-22,7371,Domestic Bedding,2570871
28 ,2026-08-22,10335,Upholstery,3027591
28 ,2026-08-22,2080,Imported Upholstery,1270552
28 ,2026-08-22,16610,Import Casegoods,2573842
28 ,2026-08-22,3523,Import Bedding,657437
28 ,2026-08-22,6010,Domestic Bedding,2092106
28 ,2026-08-22,4572,Domestic Casegoods,467696
335,2026-08-22,12031,Upholstery,3379910
335,2026-08-22,10,Domestic Casegoods,1675
335,2026-08-22,5977,Imported Upholstery,3307609
335,2026-08-22,441,Import Bedding,224806
335,2026-08-22,28604,Import Casegoods,5090962
42 ,2026-08-22,0,Domestic Casegoods,0
42 ,2026-08-22,0,Upholstery,0
42 ,2026-08-22,0,Import Casegoods,0
5  ,2026-08-22,8673,Domestic Bedding,3129132
5  ,2026-08-22,6066,Import Bedding,1112512
5  ,2026-08-22,27253,Import Casegoods,4135270
5  ,2026-08-22,55,Marketplace,0
5  ,2026-08-22,15997,Upholstery,4647246
5  ,2026-08-22,5562,Domestic Casegoods,574761
5  ,2026-08-22,3458,Imported Upholstery,2087650
ECR,2026-08-22,5576,Import Bedding,968868
ECR,2026-08-22,31592,Upholstery,9143595
ECR,2026-08-22,4767,Imported Upholstery,2764252
ECR,2026-08-22,32127,Import Casegoods,5205348
ECR,2026-08-22,10298,Domestic Casegoods,1032902
ECR,2026-08-22,7934,Domestic Bedding,2580461
ECR,2026-08-22,109,Marketplace,0
1  ,2026-08-29,7777,Domestic Bedding,2727427
1  ,2026-08-29,16662,Domestic Casegoods,1691238
1  ,2026-08-29,5169,Import Bedding,953557
1  ,2026-08-29,3509,Imported Upholstery,1941356
1  ,2026-08-29,24645,Upholstery,6924900
1  ,2026-08-29,33401,Import Casegoods,4936273
15 ,2026-08-29,7710,Import Bedding,1406794
15 ,2026-08-29,2242,Imported Upholstery,1276189
15 ,2026-08-29,16735,Upholstery,4739238
15 ,2026-08-29,10180,Domestic Bedding,3805302
15 ,2026-08-29,24856,Import Casegoods,3715809
15 ,2026-08-29,89,Marketplace,0
15 ,2026-08-29,7976,Domestic Casegoods,837676
17 ,2026-08-29,8712,Domestic Casegoods,883126
17 ,2026-08-29,32229,Import Casegoods,5189400
17 ,2026-08-29,16885,Upholstery,4905108
17 ,2026-08-29,7849,Domestic Bedding,2849663
17 ,2026-08-29,5669,Import Bedding,1086968
17 ,2026-08-29,3711,Imported Upholstery,2158354
28 ,2026-08-29,6062,Domestic Bedding,2142666
28 ,2026-08-29,2177,Imported Upholstery,1331634
28 ,2026-08-29,10508,Upholstery,3067002
28 ,2026-08-29,4445,Domestic Casegoods,458278
28 ,2026-08-29,4208,Import Bedding,792644
28 ,2026-08-29,16953,Import Casegoods,2650842
335,2026-08-29,29947,Import Casegoods,5271396
335,2026-08-29,483,Import Bedding,243664
335,2026-08-29,12,Domestic Casegoods,1903
335,2026-08-29,6718,Imported Upholstery,3712472
335,2026-08-29,12876,Upholstery,3612698
42 ,2026-08-29,0,Import Casegoods,0
42 ,2026-08-29,0,Upholstery,0
42 ,2026-08-29,0,Domestic Casegoods,0
5  ,2026-08-29,3493,Imported Upholstery,2117406
5  ,2026-08-29,60,Marketplace,0
5  ,2026-08-29,28452,Import Casegoods,4267719
5  ,2026-08-29,9523,Domestic Bedding,3569413
5  ,2026-08-29,5426,Domestic Casegoods,563326
5  ,2026-08-29,7192,Import Bedding,1328582
5  ,2026-08-29,16606,Upholstery,4814627
ECR,2026-08-29,6222,Import Bedding,1101486
ECR,2026-08-29,33291,Import Casegoods,5206963
ECR,2026-08-29,9915,Domestic Casegoods,1000992
ECR,2026-08-29,128,Marketplace,0
ECR,2026-08-29,4842,Imported Upholstery,2836666
ECR,2026-08-29,32572,Upholstery,9397747
ECR,2026-08-29,8532,Domestic Bedding,2854117
